原神1
ああるむら	アアル村
えばはーと	エバハート
えぴくれしすかげきじょう	エピクレシス歌劇場
えりなす	エリナス
えりなす	エリナス
えりにゅすとう	エリニュス島
えりん	エリン
えるとんかいこう	エルトン海溝
えるまいとりょだん	エルマイト旅団
えるみん	エルミン
えれんどりん	エレンドリン
えんかいこうせき	淵海鉱石
えんかのみや	淵下宮
えんげつらせん	淵月螺旋
えんしぇんとゔぃしゃっぷ	エンシェントヴィシャップ
えんじょう	淵上
えんどふぇーず	エンドフェーズ
えんひ	煙緋
おうごんおうじゅう	黄金王獣
おうごんのげきだん	黄金の劇団
おうごんや	黄金屋
おうじゅのかご	王樹の加護
おうじょうどう	往生堂
おうたつ	応達
おおがたがれきぶりーちゃーぷりむす	大型瓦礫ブリーチャープリムス
おおがたきょうまんぶりーちゃーぷりむす	大型狂蔓ブリーチャープリムス
おくぞうさん	奥蔵山
おせる	オセル
おとぎざい	御伽材
おるまずど	オルマズド
おるまずどしゃー	オルマズドシャー
おるもすこう	オルモス港
おろばし	オロバシ
おろばしのみこと	オロバシノミコト
かーゔぇ	カーヴェ
かーれすせん	カーレス線
かーんるいあ	カーンルイア
がいあ	ガイア
かいこう	廻光
かいせい	廻聖
かいせんしゃこ	海染硨磲
かいとうさい	海灯祭
かいらぎ	海乱鬼
かえでざい	楓材
かえではら	楓原
かえではらかずは	楓原万葉
かかた	カカタ
かかん	華館
かかんむせいけいがいき	華館夢醒形骸記
かこうのりん	華光の林
かしん	花神
かしんたんさい	花神誕祭
かしんたんじつ	花神誕日
かずは	万葉
かぜうなりのおか	風唸りの丘
かぜたちのち	風立ちの地
かぜのゆくえ	風の行方
かっつぇれいん	カッツェレイン
かばざい	樺材
かふぇ・るつぇるん	カフェ・ルツェルン
かふぇるつぇるん	カフェ・ルツェルン
かみさと	神里
かみさとあやか	神里綾華
かみさとあやと	神里綾人
かみさとやしき	神里屋敷
かみのごばん	神の碁盤
かみのめ	神の目
かみふうしょくち	上風蝕地
かむなはるのすけ	惟神晴之介
かるぱらたはす	カルパラタ蓮
かれい	花霊
がれきぶりーちゃーぷりむす	瓦礫ブリーチャープリムス
かんう	甘雨
がんおうていくん	岩王帝君
がんだおか	ガンダ丘
がんだるゔぁーむら	ガンダルヴァー村
かんづめちしき	缶詰知識
かんなざん	カンナ山
かんなづか	神無塚
かんろかかい	甘露花海
かんろかっすい	甘露活水
きかんきたん	機関棋譚
きこうざい	輝光材
きしゅう	帰終
きせい	祈聖
きせいのえきす	祈聖のエキス
きせいのおいる	祈聖のオイル
きっこうちゅう	吉光虫
きつねさいぐう	狐斎宮
きのこん	キノコン
きのしし	キノシシ
きのち	岐の地
きぼうのみち	希望の道
きゃっつてーる	キャッツテール
きゃらえりあ	キャラエリア
きゃらかーど	キャラカード
きゃらばんしゅくえき	キャラバン宿駅
きゃらふぞく	キャラ付属
きゃんでぃす	キャンディス
きゅうぐう	旧宮
きゅうぞう	弓蔵
きゅうとうじゅ	急凍樹
きよいずみちょう	清泉町
ぎょうこう	凝光
きょうまんぶりーちゃーぷりむす	狂蔓ブリーチャープリムス
きょうりつてい	共律庭
きょうれいいん	教令院
きょえんしゅこうく	巨淵主鉱区
きょえんほらぐち	巨淵洞口
きょじゃがんけつ	巨蛇岩穴
きらら	綺良々
きりぎりのかいこう	霧切の廻光
きりはら	帰離原
きんぐでしぇれと	キングデシェレト
きんぐでしぇれとのれいびょう	キングデシェレトの霊廟
きんはく	金珀
きんぱく	金珀
きんほう	金鵬
きんりんごぐんとう	金リンゴ群島
くいっくあくしょん	クイックアクション
ぐぅおぱぁー	グゥオパァー
くき	久岐
くきしのぶ	久岐忍
ぐぐぷらむ	ググプラム
くじゃくざい	孔雀材
くじょうさら	九条裟羅
くじょうじんや	九条陣屋
くにくずし	国崩
くらくさなりでび	クラクサナリデビ
ぐらんどばざーる	グランドバザール
くりぷす	クリプス
くるーずちか	クルーズチカ
ぐるぐるかみなりきのこん	グルグル雷キノコン
ぐるぐるこおりきのこん	グルグル氷キノコン
ぐるぐるほのおきのこん	グルグル炎キノコン
くれー	クレー
ぐれーと・ふぉんてーぬ・れいく	グレート・フォンテーヌ・レイク
ぐれーとふぉんてーぬれいく	グレート・フォンテーヌ・レイク
くれめんたいんせん	クレメンタイン線
くろっくわーく・ましなりー	クロックワーク・マシナリー
くろっくわーくましなりー	クロックワーク・マシナリー
くろりんで	クロリンデ
ぐんぎょくかく	群玉閣
ぐんひるど	グンヒルド
けいうんちょう	慶雲頂
けいきや	瓊璣野
けいこうあいろ	蛍光隘路
けいさくそう	軽策荘
げいしょうばな	霓裳花
けいほうし	蛍胞子
げいるはんたー	ゲイルハンター
けったく	竭沢
けつたく	竭沢
けわしきせきどう	嶮しき石堂
げんかいあべらんと	原海アベラント
げんげきか	原激化
げんしたいかい	原始胎海
げんしたいかいのみず	原始胎海の水
けんじゅんじゅうこうやどかに	堅盾重甲ヤドカニ
げんしょう	言笑
げんしょのあのかた	原初のあの方
げんしん	原神
げんせき	原石
げんそきょうめい	元素共鳴
げんそさいころ	元素サイコロ
げんそじゅくち	元素熟知
げんそすきる	元素スキル
げんそちゃーじ	元素チャージ
げんそちょうわ	元素調和
げんそばくはつ	元素爆発
げんそはんのう	元素反応
ごうかざい	業果材
こうかすがたのいろどりさい	光華容彩祭
こうじょうからくりじんけい	恒常からくり陣形
こうせつ	江雪
こうちゅう	匣中
こうちゅうめつりゅう	匣中滅龍
こうちゅうりゅうぎん	匣中龍吟
こうまたいせい	降魔大聖
こうりんしゃ	降臨者
こうんかく	孤雲閣
こかは	古華派
こくさい	黒災
こくじゃきし	黒蛇騎士
こくせい	刻晴
こぐのすふぃあ	COGNOSPHERE
ここなっつひつじ	ココナッツヒツジ
ここみ	心海
こせきむら	越石村
ごだいおあしすのいこう	「五大オアシス」の遺構
こっけん	黒剣
ごほうやしゃ	護法夜叉
こまにや	狛荷屋
ごまのつえ	護摩の杖
こもれちゃや	木漏茶屋
こりゅばんてす	コリュバンテス
これあんばー	コレアンバー
これい	コレイ
ころうざん	琥牢山
ごろー	ゴロー
こんだむら	紺田村
さーんどるがわ	サーンドル河
ざいとぅんとう	ザイトゥン桃
さいふぉす	サイフォス
さうまらたはす	サウマラタ蓮
さくげつちくようしんくん	削月築陽真君
ささやきのもり	囁きの森
ささゆり	笹百合
さしよう	砂脂蛹
さみしいばしょ	さみしい場所
さむぞらのくぎ	寒天の釘
さむどらかいがん	サムドラ海岸
さゆ	早柚
さら	裟羅
さらしあうなばら	サラシア海原
さりぶ	サリブ
さりぶ・どーれい	サリブ・ドーレイ
さるば	サルバ
さんうんがのち	三運河の地
さんかい	三界
さんかいみちあえのまつり	三界道饗祭
さんぐいと	サングイト
さんぐまはべい	サングマハベイ
さんごのみや	珊瑚宮
さんごのみや	珊瑚宮
さんごのみやここみ	珊瑚宮心海
さんどうぉーたー	サンドウォーター
さんどろあますたー	サンドロアマスター
ざんひょう	散兵
さんふろすと	サンフロスト
さんりょうぶっしつへんかき	参量物質変化器
しいき	死域
しーどるこ	シードル湖
しーむるぐ	シームルグ
しぇろい	シェロイ
しえんえりあ	支援エリア
しえんかーど	支援カード
しかのいん	鹿野院
しかのいんへいぞう	鹿野院平蔵
しぐうぃん	シグウィン
しせん	志璇
しぜんてつがくがくいん	自然哲学学院
しちしん	七神
しちせいしょうかん	七聖召喚
しちてんじんぞう	七天神像
しちょうせいごう	死兆星号
しっきゃくのたに	失脚の谷
しつりつてい	執律庭
しなばーすぴんどる	シナバースピンドル
しにょーら	シニョーラ
しふうげんてん	四風原典
しふうしゅご	四風守護
しもふうしょくち	下風蝕地
しゃーる・ふぃんどにーる	シャール・フィンドニール
しゃくせきのおか	鑠石の丘
じゃくだりゅうおう	若陀龍王
しゃこ	硨磲
じゃこつこうこう	蛇骨鉱坑
じゃしんのち	蛇心の地
しゃしんのみち	捨身の坑
じゃちょうのみち	蛇腸の道
しゃどうはすく	シャドウハスク
しゃるろっと	シャルロット
しゃんりん	香菱
じゅういき	獣域
じゅういきうぇるぷ	獣域ウェルプ
じゅういきおうき	獣域王器
じゅういきはうんど	獣域ハウンド
じゅうこうやどかに	重甲ヤドカニ
しゅうまつばん	終末番
じゅらばど	ジュラバド
しゅりょうとうえい	狩猟刀エイ
じゅんすいせいれい	純水精霊
じゅんすいせん	巡水船
しょう	魈
しょうかく	晶核
しょうかこつずい	晶化骨髄
しょうかんぶつえりあ	召喚物エリア
しょうきのかみ	正機の神
じょうこうのはね	浄光の羽根
しょうござい	証悟材
しょうちょう	晶蝶
しょうとう	霄灯
しょうほうし	晶胞子
しょうり	鍾離
しりころやま	シリコロ山
しりん	シリン
じん	ジン
しんえん	辛炎
しんおう	神櫻
しんかく	申鶴
じんかつぼ	塵歌壺
しんきょうらせん	深境螺旋
しんざいのしんれいしゃ	深罪の浸礼者
しんしゃおうじょうろく	辰砂往生録
じんじゃくかい	燼寂海
しんじゅのうた	真珠の歌
しんちゅう	神鋳
しんちゅうふけい	神鋳賦形
しんちゅうめいてい	神鋳命定
じんでんじゅ	迅電樹
じんにー	ジンニー
すいかざい	萃華材
すいぎょうしょう	萃凝晶
すいきんかく	衰菌核
すいけつざか	翠決坡
すいげつち	水月池
すいこうざい	垂香材
すいせんじゅうじいん	水仙十字院
すいせんじゅうじけっしゃ	水仙十字結社
すうりつてい	枢律庭
すかーく	スカーク
すがたのいろどりさい	容彩祭
すからましゅ	スカラマシュ
すぎざい	杉材
すくろーす	スクロース
すけぷてぃっくだん	スケプティック団
すちーむばーどしんぶんしゃ	スチームバード新聞社
すとーんえんちゃんたー	ストーンエンチャンター
すなのめ	砂の目
すねーじなや	スネージナヤ
すねーじなやぱれす	スネージナヤパレス
ずばいるしあたー	ズバイルシアター
すぴな・でぃ・ろーすら	棘薔薇の会
すぴなでぃろーすら	棘薔薇の会
すぴのくろこ	スピノクロコ
すめーる	スメール
すめーるしてぃ	スメールシティ
すめーるろーず	スメールローズ
ずるゔぁーん	ズルヴァーン
せいがいあかわし	聖骸赤鷲
せいがいがじゅう	聖骸牙獣
せいがいさそり	聖骸サソリ
せいがいじゅう	聖骸獣
せいがいとびへび	聖骸トビヘビ
せいがいとびへび	聖骸ツノワニ
せいきょうら	青墟浦
せいぎんこうせき	星銀鉱石
せいきんちゅう	聖金虫
せいけん	聖顕
せいけんでん	聖顕殿
せいけんのかぎ	聖顕の鍵
せいこうのさきゅう	精鋼の砂丘
せいこんちゅう	聖金虫
ぜいじゃくじゅし	脆弱樹脂
せいら	星螺
せいらいじま	セイライ島
せいらいまる	セイライ丸
せいろんは	生論派
せかいしき	世界式
せかいにんむ	世界任務
せきかく	赤角
せきかくせきじんめっさい	赤角石塵滅砕
せきせつのみち	積雪の道
せきねん	赤念
せきねんのみ	赤念の実
せきはく	石珀
せきもん	石門
ぜつうんのま	絶雲の間
ぜつげん	絶弦
せっそうのみやこ	雪葬の都
せつなじゅし	刹那樹脂
せの	セノ
せれすてぃあ	セレスティア
せんがん	千岩
せんがんぐん	千岩軍
せんじんのさばく	千尋の砂漠
せんちょうしょう	仙跳牆
せんとうあくしょん	戦闘アクション
せんぷうのしんでん	千風の神殿
せんようぎょくはく	旋曜玉帛
せんれい	仙霊
そうがんきょえん	層岩巨淵
そうきんかく	壮菌核
そうげきか	草激化
そうげんかく	草原核
そうしょうら	蒼晶螺
そうしん	草神
そうせいけっしょう	創世結晶
そうせんぎしき	送仙儀式
そうばくのゆうど	蒼漠の囿土
そうびかーど	装備カード
そうふうのこうち	蒼風の高地
そべくおあしす	ソベクオアシス
そるしゅ	ソルシュ
そろんは	素論派
だーりいせき	ダーリ遺跡
だーりのたに	ダーリの谷
だーるあるしふぁ	ダールアルシファ
たいだるが	タイダルガ
だいちきこう	大地紀行
だいにちみこし	大日御輿
だいんすれいゔ	ダインスレイヴ
たかとびのはま	鷹飛びの浜
